text,sentiment
"Apa beli laptop aja kali ya lebih masuk akal? :"") apa pc yg bisa dibawa kemana mana wkwkwk",neutral
@godblessfattah @mkylxbrz @tanyarlfes jaman e wes gak masuk akal nek ate rabi😭😭😭,negative
"@mygloff kalo laki2 ga tegas agak bingung juga, emak haji itu gaslight mulu yaa, jd anak ga dosa kalo bantah yg sekiranya masuk akal. Liv kata gweh gpp sakit jati skrg dipaksain juga susah laki nya ga tegas!!!! nanti2 tp cuma pasrah",negative
@tanyarlfes Ga peduli fisiknya kucingnya gmn si Nder. Yang ga masuk akal itu perlakuan dia ke kucingnya yang perlu dijaga segitunya pake uang negara.,negative
Idt it'll be like the sims... Yg ini lebih masuk akal sih consider the game's size itu kl sims style kek mana 😭,negative
And what if the housing system is like this instead of the sims like style that many are expecting? 🤨 https://t.co/iMBnbNoAbC,neutral
@rasimyungjae relate banget,positive
"Sebatas Ikatan Semu - Olivia Shea
Karena tidak bisa membayar uang kuliah, aku mendapatkan ancaman drop out dari kampus.

Sebuah penawaran tidak masuk akal diberikan oleh putra pemil

Baca selengkapnya di aplikasi KBM App. Klik link di bawah:
https://t.co/ybbsQ8V46Q",neutral
"ingat senang ke nak jadi bos???? ingat job scope dye cikai ke?? tanggungjawab dye lagi besar, risiko pon lagi besar, ko takat nak jage 1 family je periuk nasi, bos ni brape banyak pekerje dye nak kene jage periuk nasi, compare pon x masuk akal",negative
"Gaji bos: RM20K

Gaji pekerja: RM3.5K

Bos email: ""Fix this ASAP""

Pekerja buat report, kerja sampai lewat malam and even kerja masa weekend.

Bos cakap ""Awak kena lebih produktif""

Akhir tahun bos dapat 25% increment dan bonus 5 bulan.

Pekerja dapat ""Employee of the Month""",negative
@delaremeary Relate banget. 😭,positive
bro delusional af. fans man city ni dekat asia ni rasanya beberapa kerat je. nak sembang between Liv &amp; city siapa lebih banyak fanbase ni tak masuk akal. kalau man utd tu faham la jugak.,negative
"Liverpool have 20 league titles and 6 Champions Leagues, yet somehow Manchester City, with Only 9 Premier League trophies and one UCL, command more influence and a bigger fanbase.",neutral
"makanya rada sebel juga nih Baekhyun bisa bisanya ngomong buat minta Yoosik pake. Coba Baekhyun memposisikan dirinya kayak Minkyung pas perasaannya masih kayak di Seoul. Dia aja putus nya udah bertahun tahun masih nyimpan kenangannya, apalagi Minkyung baru putus. Gak masuk akal",neutral
"@dery_sulaiman Nah klo ini masuk akal. Soalnya semalam ada yg nyambat satu arah sampe jam 4 sore 😭, salah info jam pinanya inya lah.",positive
AHAGAKGSKSJSKS GILA CANTIK BANEGT GA MASUK AKAL https://t.co/bcKKMl1xHC,positive
"@DokterTifa Dia itu sebenarnya sudah berbohong sejak awal,  maunya ingin merendah dgn mengatakan itu... Tapi secara aturan akademis itu tidak masuk akal. 

Ber bohong adalah DNA nya @jokowi 
So, ngapain percaya dgn omongan nya dan terus menerus di bahas?",negative
"Aku frustasi, emosi, dan nangis. Tanganku bergetar. Apa aku harus bilang Brian akan dibunuh malam ini? Apa itu masuk akal?

""Hal buruk bakal terjadi ke Brian malam ini tante, tolong bawa Brian pergi dari sini"" 

""Kamu suru saja papanya bawa dia ke ln. Saya sibuk"" Telpon terputus.",neutral
@acaciavia_ @Aceh @Dandhy_Laksono @inilahdotcom @Puspen_TNI @SBYudhoyono @tempodotco @ChannelNewsAsia @AJEnglish @CNNIndonesia @ReutersWorld Lagi bencana kok malah main agenda politik ga relate banget,negative
@renregalia Oknum ini harus beli bundle dulu baru harganya masuk akal 😮‍💨😮‍💨😮‍💨,neutral
"@B4n6_H4n5 @Gendoet3G Negara ini lagi apa sih? 
Buatlah program pembukaan atau ciptakan lapangan pekerjaan 
Itu lebih masuk akal menuju Indonesia yg berkeadilan dan kemakmuran ✍🏻",positive
Aaaaa ada yang jual Shinchan yang ini dengan harga yang masuk akal 🥲🥲🥲 https://t.co/4vs7feMPs1,positive
"@aaruuniika Aku kl ceritanya oke ke terabas aja sih, kek kalian itu bangsawan kaya makanannya mevvah kok ya karakter perempuannya jomplabg bgt height gapnya kek gak masuk akal aplgi kl pake heels 5cm gitu kek ihhh geramnya",negative
Menurut gw ini dua cantiknya ga masuk akal.,positive
"Imagine A #BeautyContest 

Who Would Win, Mother Or Daughter ? https://t.co/JtzV19exTd",neutral
BeautyContest,neutral
"@justnaomi_ @LEEKNOW_INTL Iyaaakannn pembelaan nyaa gak masuk akal , masaa iyaa sekelas FB besar RT tanpa liat apalagi itu menyangkut truck protest? Bukan nyaa semua truck protest itu udah melalui pembahasan panjang banyakk fanbase? Apalagi kalau perihal grup? Masaaa iyaaaa??????",negative
"@peacefuvly yesssss, makin gak masuk akal chatnya pake slow mode 1 menit :)))",negative
@KangManto123 YAH GA MASUK AKAL KITA BAYAR LISTRIK DAN YANG MENYEDIAKAN LISTRIK CUMAN PLN RUGINYA dari MANAAAAAAAAAAAA GOBLOG,negative
@KangManto123 Harga gak masuk akal 🙄,negative
"Liat detail sinopsis xiaofang, ternyata karakter setting dari beberapa karakter sepertinya akan menyebalkan. Tapi karena ini dibuat berdasarkan pendekatan masyarakat desa yang dibuat serealistis mungkin sebenarnya masuk akal.",positive
"Berdasarkan data dari CSIS, Lowy Institute, & Freedom House (2025), buzzer politik di Indonesia memang ada yg bayaran, tarif per post bisa 50rb-200rb Rp, tergantung skala. Klaim 12rb/post masuk akal buat level rendah, tp gak selalu anti-pemerintah—ada yg pro juga. Bisa sebar hoax, tapi verifikasi fakta penting. Gimana menurut lu? 😊",neutral
"@trishaaaaaaa09 Aku tidak setuju WYMM dan LND masuk, padahal LND ceritanya seru kyak relate banget dengan kehidupan bisa dibilang slice of life. Begitupun dengan WYMM ceritanya sat set, dapat banget butterfly era nya dan ceritanya masuk akal aja, tidak ada yg ngedrama banget",positive
@bonicruda @SianiparRismon @DokterTifa @officialinews_ Masuk akal.. 👍,positive
@forever_nightt sebenernya masuk akal siihh kl pd salty dan bertanya2 di awal (ga membenarkan) btw tp kenapa 3 romeonya? ganti2an atau emang ada 3 dalam 1 play? (bnrn gatau wkwkwk),positive
"@prastow Hukum , ekonomi , etika semua telah rusak .
Dan satu hal lagi yg lebih tidak masuk akal manusia yaitu pemilik minimarket , hartanya 10 turunan masih juga mendirikan minimarket berjejer jejer tidak memikirkan apa dampak buat usaha rakyat jadi melarat .",negative
"Kontroversi penanaman sawit di Papua memang kompleks. Di satu sisi, bisa tingkatkan ekonomi dan ketahanan energi, tapi risiko deforestasi hutan hujan tinggi, seperti kasus di Sumatra. Saran Ahok pakai lahan bekas tambang masuk akal untuk keseimbangan. Soal ""keledai"", kalau maksudnya kedelai, ya, keduanya sering dikaitkan dengan perusakan hutan. Penting kajian mendalam dulu.",neutral
"bnr bnr gila ni
10+ sertif, praktek iot beli alat sendiri tu masih masuk akal
tbtb disuruh bikin propo sementara, tp judulnya apaan jir KKL jg blm😔🫷🏻🫸🏻 https://t.co/Q6zpxm0EYb",negative
"WANT TO SALE (WTS) di jual murah murce photocard pc enhypen bts txt official 

• boleh kasih harga berapa aj (krn gtw harga pasar tp yg masuk akal yaa) 
• rd ina 
• dom palembang, sumsel
• dm for more detail
• bisa oyen🍊✅
jual rugi krn bu &amp; udh ga minat kpop https://t.co/2KuRL24QQf",neutral
"Mana pembelaan nyaa di komen gak masuk akal lagi untuk sekelas fb besar

In the end, ternyata bener kata FelixCentral, fanbase solo ot7 punya grup dan tergabung di stayland kecuali Felix Fanbase wkkw. Mereka beneran ot7 yah? 😂

Gimana perasaan kalian yang ngaku ""ot8?"" 😄😄😄",negative
"a large fanbase reposting a post from an ot7 page that was created in order to spread rumors &amp; lies about felix is absolutely insane. @LEEKNOW_INTL, do you really think that this is okay? https://t.co/ySvpn0NpZP",neutral
"@ecommurz Dilihat2 soalnya gak gak masuk akal, iya sih waktunya 2 kali lipat dari snbt. Tp soalnya jga gak bisa langsung ditangkep, harus mikir dulu.
Apalagi angkatan sekarang dulu kelas 7&amp;8 nya online, pondasi ilmu nya jelas kurang kuat.",negative
Relate banget😭😭😭😭 kalo pas skincare an ngerasa cakep tapi pas selfie jeleg buanget😖😖,negative
Smartphones are scam https://t.co/2F5LPFzrln,negative
@Jateng_Twit Ga masuk akal. Krn @pln_123  itu monopoli produk.,negative
"@TriCahyyow @idextratime Perez sekarang udh ogah ikutan perang harga di bursa transfer karena harga pemain emang udh banyak yg ngga masuk akal, apalagi kalau saingannya tim dari EPL auto mundur..",negative
"Jujur aja pgn segera gue lupain nih drama wkwk, perut gue geli bgt anjr ga kuat 😂😂😂. Masih ga percaya gue masih nonton drama begini di 2025 😂😂. Konyol bgt anjrrr ga paham gue sama isi kepala penulisnya 😂. Ya mungkin belio ingin membangkitkan romcom2 tidak masuk akal lg wkwk",negative
"Bisa gue bilang DK nih konyol bgt wkwkwk. Byk bgt part2 konyol ga masuk akal (in a bad way dlm perskrip-an). Kayak plot2 drakor jaman jadul yg gitu,,, patternnya ketebak dan konyol 😭. Tp anehnya gue nontonnya ga semisuh itu, malah ketawa mulu. Perut gue kayak geli bgt gitu loh.",negative
@bovoj21 masuk akal,positive
@kookminaked Wkwk masuk akal sekali😭,positive
"@sasana_tinju Ga masuk akal bgt 😝 makanya tiap adegan di wtpr tuh diskusinya bener2 mateng ya. Inget yg scene hj di rumah sakit, mo digendong aja bener2 dipikirin yg masuk akalnya gmn",negative
@mieeeayammm_ Gk masuk akal,negative
@Kikmi Bener nanya yang gak masuk akal kadang. Apanya yang bisa bersatu cik?,neutral
"Yang sirik bukan dari fandom lain tapi dari fandom sendiri. Kocak rapuh banget ni fondasi. Bukannya didukung member pada serba bisa (Kyu aja kemarin mulai masuk ke rap, semuanya belajar) malah dibilang ga cocok, ga masuk akal, diraguin. Kentutt",negative
"A hate tweet for Shinyu almost reached 1k likes, it come from a 42 who constantly mocking him since months ago &amp; brought up other members' name. Please help report this acc. It caused fanwar with other fandoms too. She blocked everyone who defended SY
https://t.co/ZfAHnNMGEo https://t.co/utwMWixGMX",neutral
"Padahal yang dicari pembimbing adalah clinical reasoning:
kenapa DD disingkirkan,
kenapa diagnosis ini paling masuk akal.",neutral
@Tilamisyu33 Sperti ga masuk akal sih,negative
Ga ada saingan kok rugi? Ya ga masuk akal laahhh,negative
📸📸‼️ https://t.co/HMeVT1tNSZ,negative
@cigsaff @tanyakanrl Ga masuk akal,negative
"@spesdelune @anggadwia_ Mendapatkan untung sah aja, cuma untungnya masuk akal vs serakah; monopoli vs memberdayakan masyarakat. Itu baru",neutral
"@TokCoin_Network Teruslah membual dengan omong kosong kalian, bagai mana anda menentukan total suply 8 juta di awal project, tetapi saat menjelang kyc anda memberikan dua pilihan yang tidak masuk akal
Dari suply 8 juta menjadi 50 juta itu sama sekali tidak masuk akal",negative
"@kookminaked iya bjir jk kena rugi banyak, belum lagi fitnahan” yg jijik bgt gk masuk akal tapi ttp aja pihak cowok yg disalahin yg disuruh klarif  yeuuu kocak 😌",negative
@cigsaff @tanyakanrl kronologi ga masuk akal,negative
@myshawti Kenapa semakin ga masuk akal gini beritanya 😭,negative
@fearlessbarb13 Hehehe masuk akal. Laki2 yg bisa dapat perempuan sesuai tipenya itu dikit karena laki2 mapan itu dikit,positive
"Bukan sebab orang bodoh. Tapi sebab orang yakin.

Yakin mereka kedai buka on time. Yakin mereka difahami. Yakin masalah mereka selesai. Yakin duit mereka dibelanjakan dengan betul.

Harga cuma nombor. Keyakinan yang buat nombor tu masuk akal.",neutral
"@NgkongRoses Seburuk apapun ortu, kita wajib berbuat baik padanya. 
Dan argumen sengaja berbuat salah agar orang tua berdosa itu sangat tidak masuk akal.",negative
"@AntoniusCDN Solusi macem apa ini tolol, sekelas menteri buat solusi gini
Coba di audit lagi itu PLN, ada yg ga bener jelas. Sama gaji"" komisaris, dirut dll di pangkas jgn ke besaran gaji yg ga masuk akal",negative
Ehh masuk akal lohhhh. Dan asli jadi makin penasaran.,positive
"“This is all because of you.”
“I became human.”

Omg Eunho, who never wanted to become human, ends up becoming one, and it’s all because of Siyeol. Something about him causes her to lose her gumiho powers. Now it finally makes sense why Eunho is living in Siyeol’s house, and it also seems like Siyeol loses everything once Eunho’s powers disappear. That’s probably why the two of them are suddenly living such a modest life.

The story is getting more and more interesting. The conflict likely begins when Eunho loses her powers, which means Siyeol has to help her regain them. And somewhere along that journey, the resentment they once felt might slowly turn into love.

If you like gumiho stories, you should definitely watch No Tail To Tell, because like I said this one is different from typical gumiho stories.

#NoTailToTell #KimHyeYoon #Lomon",neutral
NoTailToTell,neutral
KimHyeYoon,neutral
Lomon,neutral
KONSISTEN IKU GUDUK PAS PREI TETEP MLAKU TAPI ISI PANGANANE SENG MASUK AKAL MBODDD JMBOODDD OON,negative
"Aku jane pengen ngguyu. Lha terus badogane kuwi meh diuntal sapa, cuuuuk?! 😂 https://t.co/4bO3oF4vNR",neutral
"@poconxg Nyari hidup yang nggak terus2 an diinjek.
nyari hari di mana capek itu masuk akal.
nyari ruang buat jadi manusia, bukan sawit.",negative
"BTW SEMANGAT YA MBAKNYA... PACARAN BUKAN SUATU KRIMINAL KOK, SAKIT JIWA AJA YG NGEHATE GARA² HAL YG GA MASUK AKAL",positive
"@Urrangawak Lo punya kuwasa wo @prabowo  ga masuk akal harga segitu, udah sakit negara ini. Cukk cukkkkkkk aneh banget banget.",negative
"@joochocoo Ih seru banget teorinya dan masuk akal 😭😭
bener² pinter sbs ngasih teaser. Dikasih hint² tapi kita juga masih ga bisa mastiin kecuali pas nanti nontonnya 🤣🤣",positive
Athanasia sampai bingung sama otaknya papanya sendiri yang gak masuk akal. https://t.co/RlJNbQ69Cg,negative
"kayaknya emang gak ada yang mau menggabungkan emosi negatif dalam kebaikan.

daripada menjadi marah untuk melindungi kebaikan, mereka rela mati.

pantesan cuman orang jahat yang hidup.

aku belum mengerahkan 100% kemampuan milikku, https://t.co/lkCPO6Uofm",neutral
"@aSaHI0Hamada @techsureX Caper ke siapa tuh? Kalo caper ke teume, gak masuk akal, karena dia aja gak nyebut tresur. Jadi seharusnya itu gak ngundang entitas teumes sih, ya. 😂",negative
"@BaadilaOscar Siap, jd masuk akal klo gitu",positive
@kdrama_menfess mulai ngerasa aneh pas adegan kebakaran. masak asap setebal itu jangkiyong utuh padahal dia didlm ruangan awal mula kebakaran terjadi. kayak gak masuk akal. wkwkw mana digendong eunjin. tapi tetep aku liat sampe kelar sih. 7/10 lah.,negative
"@Paman_1168 @Dhinda_8 Bukan masalah pembenci tapi emang gk masuk akal saja,, wajahnya saja gk sama dgn yg diijazah tapi mengakui itu org yg sama,,kalo km pake mata manusia ya pasti beda, sayang km pake mata anjing mgkn jadi liat sama",negative
"@chandra_6813 @aesculapiusw Lebih aneh 1 nabi yg itu , baca sekilas aja uda ga masuk akal
Bulan terbelah bla bla duh bingung orgil dri guha dapat wejangan setan barangkali
Kl gak percaya injil masa bodoh sih, percayailah mamad mu itu yg pernah 1 thn kena guna* sihir monggo🤣",negative
Masuk akal jugak satu idol tu dah 3-4 fansite kalau treasure tbz nct dream dah byk gila fansite for individual idol gg lagi,positive
damn are they all fansites……????  https://t.co/ij2Ozeipba,neutral
@lotsobyniii @tanyakanrl Masuk akal.,positive
"@samsungID Tebakan paling masuk akal ya #SamsungWallet, Gak Sabar Coba beneran #JadiMudah #TebakLogoSamsung",positive
SamsungWallet,neutral
JadiMudah,neutral
TebakLogoSamsung,neutral
madanon memang suka benda x masuk akal,positive
"Semua Negara ASEAN Belum Tandatangan Perjanjian ART Melainkan Malaysia dan Kemboja
 
"" Filipina tak sign, Singapura tak sign, Brunei tak sign. Tapi kita yang lebih pandai kita sign, kita surrender semua. Tidak ada benefit kepada Malaysia."" https://t.co/z1VtKgmkvQ",neutral
"@samsungID Jawaban paling masuk akal #SamsungWallet, Gak Sabar Coba karena bikin hidup #JadiMudah #TebakLogoSamsung",positive
"@samsungID jawaban paling masuk akal #SamsungWallet, udah coba dan emang memudahkan #JadiMudah #TebakLogoSamsung",positive
@ardisatriawan Makin ga masuk akal aja dari hari ke hari😭😭,negative
"Now playing ""geisha - sementara sendiri""
(Liriknya relate, banget)",positive
@samsungID Jawaban paling masuk akal ya #SamsungWallet min! Gak Sabar Coba karena keliatannya bikin semua jadi lebih sat set ⚡ #JadiMudah #TebakLogoSamsung,positive
"Ngikutin drama on going, ujung2nya eneg sndiri krn liat spoileran wkwkkwk, ga masuk akal ni ah lamalama",negative
just d1ed of cringe because what the fuck is this 2010s plot?@#$?%,negative
"@jossgawine relate banget phi, izin ritwit yh",positive
@Jateng_Twit Gaji gaji yang kerja di PLN mah hrus di audit ...? Masih masuk akal gak..?,neutral
@AnKiiim_ @CakTugiman Kl gimi jd masuk akal kl ditutupin bangkainya,positive
"Alterbdg! Hai sender hari ini mau ke bandung. Rekom apart/penginapan yg dkt pasteur, dago, antapani yg harganya masih masuk akal dong:(",neutral
@whatsuprony Nggk masuk akal,negative
@grasciand Masuk akal juga konspirasinya,positive
@grasciand masuk akal juga yaa,positive
@AntoniusCDN Knp sih opini atau saran dia g ada yg masuk akal pikiran manusia??,negative
@jellysavor sial ketebak bgt alesannya😌 ayo dong bikin alesan baru lagi yg jauh lebih ga masuk akal,negative
"YG ATAS GW RELATE BANGET, chat fc nya ga dibales-bales yaudah gw samperin. eh ternyata lg ngurusin yg skripsian 😭😭😭",positive
"-star gais drop meme yang sejenis kaya gini dong versi idol kalian, ngakak liatnya😂 https://t.co/2uVynHakHg",neutral
@omosh1roi Meskipun dia valid sih merasa tua. TAPI ?!?!?!?!? 😭😭😭😭😭😭😭😭,neutral
"️️ ️️
️️
️️ ️️
Hingga tiba gilirannya, Daisy merasa bersyukur karena tantangan dan pertanyaan yang ia dapatkan masih masuk akal.
️️ ️️
️️
️️ ️️",positive
@hasyimmah Kemewahan yg bapak inginkan itu kemewahan yg masuk akal dan normal aja 😅,positive
@i244AM Selagi masuk akal gas aja finnn,positive
"@AnjingElon50599 @MbahZaid @mwx_ai Setuju. Utilitas itu kompasnya. Siapa yang fokus ke sana, biasanya reward-nya paling masuk akal.",positive
"Sebuah obrolan malam hari. Jujur aku sudah nggak kuat lanjut di kerjaan sekarang, kayak diperbudak dan tahun depan beban kerja bakal makin tambah dan nggak masuk akal. Tapi kalau mau resign masih banyak hal yang perlu dipertimbangkan. https://t.co/iPhIU8HQzU",positive
"Lupa switch akun tiktok di hp mak ku, biarin lah drpd orngnya nonton ceramah ga masuk akal terus males dngernya",neutral
"Yang gak masuk akal PLN kok bisa rugi? Padahal monopoli, guendeng rek",negative
https://t.co/NSdMrJmFLh,neutral
"@AntoniusCDN Sensor kek mukanya, sebel bat gua liatnya. Orang mah yg gak masuk akal cukup mukanya ajah udah, kebijakannya jangan ikut""an. Ini malah diborong semua. Heran gua.",negative
"@seruanhl @ch_chotimah2 @NgkongRoses @Anak__Ogi @AntoniusCDN @Ary_PrasKe2 @denni_sauya @DS_yantie @FirzaHusain @Urrangawak @sydneyzw @BebySoSweet Justru bukan Keputusan MK yang jadi masalah bagi saya, tapi memang Prabowo terpilih itu karena ada Gibran,,, nah apa sih sebabnya mereka ini pilih Gibran itu yang gak masuk akal.",neutral
@lilouisback yeah. ga masuk akal,negative
Klo lisa liat fansnya ada bentukan begini keknya dibuang deh nih org ekwkwkwk toxic ga masuk akal. Otak dangkal,negative
none of red velvet was fucking with her except yeri,negative
"@AntoniusCDN Klo diperhatiin pembantu presiden kaya bahlil ini nggak bisa usaha. Klo cuma tinggal naikin mah gampang, dan alesannya nggak masuk akal. Coba nyari untung gede, tapi jngm nyusahin rakyat. Kami juga sudah hemat, pemakaian sesuai kebutuhan. Biar nggak mahal bayar.",negative
@masssgul @tinaberkata @prabowo Usul yang bagus dan masuk akal,positive
"Kumpulan artikel otomotif terpopuler pada Kamis (25/12/2025), mulai wacana mobil nasional hingga 1 juta kendaraan tinggalkan Jabotabek. https://t.co/TscfnSTsee",neutral
@imwithyun masuk akal sih wkwkwk,positive
"Aku jumpa sama penjaga kafe di pantai pas air udah surut, lengannya luka sampe keliatan tulangnya. kata beliau kalo air laut itu surut ke tengah. Orang bukan pada lari, malah ambil ikan ke tengah laut. Nggak masuk akal emang kalo dipikir air laut surut ke darat.",negative
"Emang orang kalau cemburuan tuh gak masuk akal begini yah, jatoh nya lu nuduh gue dengan hal yang gak mendasar anjing sakit banget otak lu. KENAPA GUE PERNAH BERTAHAN SAMA ORANG UANG BEGINI DULU NJING 🫵🏻😭",negative
Berantem lagi https://t.co/jgiUr9ucm4,negative
"@mustikarahaayu @MbahZaid @mwx_ai Kalau bicara AI crypto yang siap scale, contoh kayak gini yang masuk akal.",positive
@Dhinda_8 Ya nda mungkinlah menghilangkan barang bukti didepan petugas klu itu yg terjadi tersangka langsung diborgol bawa ke penjara alasan yg tdk masuk akal....,negative
@SS99YIHYUN @wuomin Muka ketika baca mention yang tidak masuk akal :),negative
"soalnya fl bangun kesadaran sebulan yg lalu, malahan lebih ke transmigrasi ini mah, kalo reinkarnasi harusnya dari bayi, tapi masuk akal juga kalo ingatannya baru dibuka wkwk sebelumnya kesegel, khas xianxia. 

Karena ini belum tamat translate, bakalan baca pelan pelan aja.",neutral
@kitschied @Ruscsell ga masuk akal belio ini,negative
"Bernegara paska 10 tahun ini tambah berat, rakyat di paksa untuk menerima perbuatan pemerintah yang tidak masuk akal.

Rakyat seperti  ""property demokrasi"" untuk di perdagangkan di mata kapitalis. 

Mereka bebas menggunakan Polisi dan TNI untuk memaksa rakyat agar bodoh dan diam",negative
"BISA DIJELASKAN GA @pln_123 DI JAKARTA SELATAN, JL.KEBAGUSAN 3 KECAMATAN PASAR MINGGU JAKARTA SELATAN MATI LAMPU DI JAM SEKARANG? KASIH SAYA KETERANGAN YANG MASUK AKAL !!!!!!!",negative
"@KejaksaanRI penerapan pasalnya sangat tidak masuk akal dan mengada-ngada
Kelak yaumul hisab klean ada di belakang abu lahab",negative
